ID,Age,Title,Title_ja,Review,Review_ja,Rating,Positive Feedback Count,Division Name,Department Name,Class Name,Recommended IND
19,31,Pretty but not perfect,きれいだが、完璧ではない,"This is a thick jacquard fabric and the colors are stunning. this would be best for very thin petties or tall women. i'm 5'4"", 125#, 27/4, and it was just too much fabric so my waist looked thick. the length was great though. sad it didn't work out",厚手のジャガード生地で、色もとてもきれい。,3,5,General,Bottoms,Skirts,0
20,49,Perfect jacket,パーフェクトジャケット,"I love my new blazer! the material is very soft and comfortable, and very nice quality, but not too ""wooly"" to wear into spring. the cut is very flattering, and the patterns and fringe details are very eye-catching. i am 5'6"" and usually wear a size s in retailer and this small fit perfectly. they grey/cream color combo is gorgeous and looks very versatile, and can be dressed up or down.

the one alteration i suggest is moving the button; at the shoulder it gives a wide boxy shape. my tailor wil","私は5フィート6インチで、通常小売店のサイズSを着用し、この小さなフィットは完璧でした。

このような場合、ボタンを移動させることをお勧めします。肩の部分で、広い箱型の形状になります。",5,1,General,Tops,Sweaters,0
21,41,Figure flattering and the material is so soft!,体型を美しく見せ、素材もとても柔らかいです,"I bought this dress in the navy stripe version and love it. the material is so soft it's like wearing pajamas, and the actual swing skirt is flattering (which surprised me when i tried it on). i wore it to work with burgundy heels and got a lot of compliments from my co-workers. i'm 5'9"", 130 lbs and the xs worked best for me.",素材はパジャマを着ているような柔らかさで、実際のスイングスカートはお洒落です（試着した時は驚きました）。,5,0,General Petite,Dresses,Dresses,0
22,42,"Cute pants, but size down",かわいいパンツですが、サイズダウン,"I just received these in the mail, but had to send them back to the store because they are too big. i usually wear a 28 and sometimes even a 29 in most ag and mother jeans. the 28 in these were loose in the waist and overall baggier than shown in the picture. i ordered size 27, so hopefully these will fit just right since they are really cute. the beige color is just as pictured and almost a rust color which goes well with a dark grey top as shown.",この値段で、このクオリティはすごいと思います。,5,5,General,Bottoms,Pants,0
23,33,Love this shirt!,このシャツが好き!,"I ordered this shirt in both white and coral. i absolutely love the design and coral color. the white was a bit see through, so i returned it. it would be cute with a cami under, but i just wanted something that did not require an extra layer. overall, it is a flattering fit and i love the detail on the back.",このシャツは白と珊瑚色の両方を注文しました。白は少し透けていたので、返品しました。,5,0,General,Tops,Knits,0
24,49,Pretty but odd fit,かわいいけど、変なフィット感,"The fabric is nice and could pass for silk even though it is viscose-rayon. the pattern is pretty and flattering. sadly, the fit was just off- big in the center but tight at the hips. if i size up the v-neck might be too wide. i'm disappointed that i'll have to return it. it probably would look great on a different body type. i would recommend it for apple body types but not for pear body types.",ビスコースレーヨンなのにシルクのような素敵な生地で、柄もきれいです。,3,0,General,Dresses,Dresses,0
25,48,"Cute, but...",かわいいけど...,"Wanted to love this dress, bit it wasn't to be. strange fit, and doesn't drape nicely, as in the photo. also, the blue color was much darker in person. wouldn't recommend.",このドレスを愛したかったのですが、そうはいきませんでした。奇妙なフィット感で、写真のようにきれいなドレープが出ません。,2,0,General,Dresses,Dresses,1
26,54,Love love love!,Love love love!,"I love this dress! i was so excited when i saw this hanging in my local retailer, just one in my size (it must have been a return). i tried it on and fell in love with it! i am 34b bra size, 130 pounds, 5'9 tall and an xs fits me great! i didn't find it to be tight on top for me, as other reviewers have said, and the skirt is very flowy. i have worn this dress so many times since i bought it and have gotten compliments on it each time. i bought the green color-- its a beautiful print, and usually",このドレスが大好きです！近所の小売店でこのドレスがぶら下がっているのを見たとき、とても興奮しました！私のサイズは1つだけでした（返品されたのでしょう）。他の方のレビューにあるように、私にはトップがきついとは感じませんでした。,4,0,General,Dresses,Dresses,0
27,46,Needs pockets! runs large,ポケットが必要！大きめ,"Even though this is an online exclusive, i was able to try on a one off in the store. i have been looking for a cross front dress and the other option currently at retailer (the black and white striped top version) in a similar length) looked awkward. this dress looks great on but i needed the xs. i usually wear a 2. it was cute and i came online to see if the xs was available but it is sold out. the dress would be perfect if it had pockets!",クロスフロントのドレスを探していたのですが、現在販売されている他のドレス（黒と白のストライプのトップバージョン）と同じような長さのドレスは、着心地が悪そうでした。,4,1,General,Dresses,Dresses,0
28,36,Swoon-worthy!,うっとりするほど美しい,"Once this caught my eye, i couldn't let it go. i kept revisiting it...thinking it was too expensive, probably itchy,
too bulky, a problem if you wanted to eat something.
but the color looked yummy so i finally ordered it....
and i'm so pleased i did! 
the shape is actually easy to wear - it's not chopped. it drapes nicely over my hips and it isn't itchy.
i would not wash the dishes with this sweater on...but you could dress it up with velvet pants for a party or 
more casually with jeans.","一度、目に留まると手放せなくなる。
痒くなるし、かさばるし、何か食べようと思ったら大変だし。
でも、色がおいしそうだったので、ついに注文しました。
でも、色がおいしそうだったので、ついに注文しました。
でも、色がおいしそうだったので、ついに注文しました。
このセーターを着たままお皿を洗ったりはしませんが、ベルベットのパンツと合わせてパーティー用にドレスアップしたり、ジーンズと合わせてカジュアルに着こなすこともできます。
ジーンズでカジュアルに。",5,1,General,Tops,Sweaters,0
29,38,Not worth the effort,努力に見合わない,"Generally, i find sizing at retailer to be very consistent, so i ordered this dress in the same size that i order all of my other retailer dresses. the bust was way to small. so i had to go and return this and have the next size up shipped to me. it's till way too small! in addition, the shipping was terrible - the dress was just dumped into a bag with no attempt to fold this, and the right strap was defective! it's so irritating that i have to return this again!",一般的に、私は非常に一貫している小売店のサイズを見つけるために、私は他の小売店のドレスをすべて注文したのと同じサイズでこのドレスを注文しました。,1,0,General Petite,Dresses,Dresses,1
30,73,I live in these tanks!,私はこのタンクで生活しています!,"I'm a power-walker. i bought this tank in 3 colors and rotate through them. they're great for working out with a nice sports bra underneath. i also wear them with leggings. so cute! love the colors, the fit. yes, they're thin. i don't think they'll last for years and years, but with the sale price they are such a great deal.",私はパワーウォーカーです。このタンクは3色買って、ローテーションで使っています。,5,0,General,Tops,Knits,0
31,52,Great shape and flow,素晴らしい形と流れ,"This is a great piece, which has flow, grace, and charm. the blue is a beautiful color! i love it and received numerous complements after wearing it one time.",これは、流れ、優雅さ、魅力を備えた素晴らしい作品です。ブルーは美しい色です！私はこれが大好きで、一回着ただけで、何度も褒められました。,5,2,General,Tops,Blouses,0
32,49,Love love love this,Love love love this,"I love this sweater dress. i got the ivory color in a size small. i'm a size 6 & 5'5"". i feel in love with it while shopping with a friend, who kind of rolled her eyes at it. i went back later because i knew i loved it. since the ones on the sale rack were covered with dust and dirt at the hem. i ordered it on line in m & small and the small fit better. it is so soft, and the color is great.",このセータードレスが大好きです。Sサイズのアイボリーを購入しました。,5,0,General Petite,Dresses,Dresses,0
33,33,Short,ショート,I really loved this dress. it ran small but it was also shorter than i imagined which was only worsened because i'm curvier on top. would be great for slender figures.,このドレスがとても気に入りました。サイズが小さかったのですが、想像していたよりも丈が短く、私は上半身が丸みを帯びているので余計にそう感じました。,3,5,General,Dresses,Dresses,1
34,30,The only jumpsuit i own,私が持っている唯一のジャンプスーツ,"I am not really a fan of jumpsuits/rompers/etc. but i love this jumpsuit. very good quality and design. fits well, but i thought the 4 was pretty large for a 4. i mean, i probably should have gotten a 2 (which was sold out), but i don't usually have to get a 4 tailored. i did in this case, but it was still worth it.",私はジャンプスーツやロンパースなどがあまり好きではないのですが、このジャンプスーツはとても気に入りました。よくフィットしますが、4だとかなり大きいと思いました。,5,0,General,Bottoms,Pants,0
35,61,Great pant,グレートパンツ,"Wow! great find and a true fit. i totally dislike pant shopping and these are a gem.
slimming, flattering and so comfortable, the style is great. great basic summer pant!","私はパンツを買うのが大嫌いなのですが、この商品はまさに逸品です。
夏のベーシックなパンツとして最高です。",5,0,General,Bottoms,Pants,0
36,43,Didn't work!,うまくいかなかった！？,"I saw this very shirt online & thought it was so pretty. in person, the shirt seems flimsy. the buttons look as though they'd fall off. i also didn't like the cut of the shirt. it seemed to be tighter on top & looser on the bottom. had to return. i couldn't justify the cost with the quality.",このシャツはネットで見て、とても可愛いと思っていました。実際に着てみると、ペラペラで、ボタンも取れそうです。,1,2,General Petite,Tops,Blouses,1
37,36,Still not sure about this,まだよくわからない,"After seeing the picture online, i was coveting this top for a while and then retailer days happened! i immediately ordered it, but i'm still not sure if i'm going to keep it. i ordered a 2p (0p was sold out) and i was assuming it was going to be a little big, but i like flowy. the sleeves and chest are perfect but the top is cut so generously in the back (and it's a bit longer in the back as well) i feel like it looks like i'm wearing a wedding dress. i love it from the front. i'm going to try to",ネットで写真を見てから、しばらくこのトップスを欲しがっていたのですが、小売りの日が来ました！すぐに注文しましたが、まだ持っておくかどうか迷っています。袖や胸元は完璧ですが、背中が大きくカットされているので（背中も少し長い）、ウェディングドレスを着ているような感じです。,3,1,General,Tops,Blouses,1
38,66,,,"Love these leggings!!! soft, cozy and yummy feeling! can't wait for the weather to get cooler! these fleece-lined leggings will be a new staple this winter!!!",このレギンスが大好きです！柔らかくて、居心地がよくて、おいしそうな感じ！涼しくなるのが待ち遠しい！このフリース裏地のレギンスは、この冬の新しい定番になりそうです!,5,3,Initmates,Intimate,Legwear,0
39,35,"Take car with it, but it's gorgeous",車と一緒に、でもゴージャスに,"I love this dress. i agree with the other reviewers that the rhinestone linkages do very easily get caught on the lace part of the dress and i could see it snagging very quickly. that said, i am going to keep it and hope for the best because it is absolutely gorgeous. it is not actually a true white as it looks pictured. instead we, it is more of a nude color, but it adds to the flattering nature of the dress and makes it look sheer. the embroidery is beautiful. my only complaint is that it will",このドレスが大好きです。他の方のレビューにあるように、ラインストーンのつなぎ目がドレスのレース部分に引っかかりやすく、すぐにひっかかりそうな気がします。,4,8,General Petite,Dresses,Dresses,0
40,56,Gorgeous top!,ゴージャスなトップス!,I'm obsessed with this top! i got it for christmas and wore it to dinner with black pants and flats and got lots of compliments. the fit is cute and fun and the detail is about even prettier in person.,このトップスに夢中です！クリスマスに買って、黒のパンツとフラットシューズと一緒にディナーに着ていったら、たくさん褒められました。,5,0,General,Tops,Blouses,0
41,45,Beautiful design,美しいデザイン,"I bought this dress online after a long search for the perfect dress to wear to my daughter's fall wedding. i did not want something full length or too formal. after modeling several dresses for my boys this one got the thumbs up. i do love the design and that it is different enough from all the other mother-of-bride dresses out there. i will wear this with black nylons and wedges (since this wedding is in a meadow). i'm completely satisfied! for reference i am 45 years old, 5'10"", 160 lbs with",娘の秋の結婚式に着ていく完璧なドレスを長い間探した後、このドレスをオンラインで購入しました。私はフルレングスやフォーマルすぎるものを望んでいませんでした。私の息子たちのためにいくつかのドレスをモデル化した後、このドレスが親指を立てた。,5,3,General Petite,Dresses,Dresses,0
42,46,Favorite linen pants,お気に入りのリネンパンツ,I love these pants so much i had to write a review! purchased the carbon color recently in regular length - the length stated is pretty true and there was minimal shrinkage for me. size was also tts (typically wear size 2 and got 26). i've been wearing them often! they look great right out of the dryer and drape nicely. i've been purchasing the pilcro linen trousers for years but these are my favorites this season --- i also think the quality is much better. i will be getting them in more colors,このパンツが大好きなので、レビューを書かなければなりませんでした！最近、レギュラー丈のカーボンカラーを購入しましたが、記載されている長さはかなり正確で、私にとっては最小限の縮みしかありませんでした。,5,9,General,Bottoms,Pants,0
43,34,,,"I wasn't sure about this dress, and decided to give it a shot based on reviews, could not be happier. before trying it on i was worried about the length, and always worry about dreaded button gap at the chest, but none of that is an issue.",試着する前は丈の長さが気になり、胸元のボタンの隙間もいつも気になるのですが、そんなことは全く気になりません。,5,0,General,Dresses,Dresses,0
44,45,Definitely size down,間違いなくサイズダウン,"Love everything about this dress except - it runs huge.  i am busty and usually wear a 12 in dresses, but the large was completely shapeless on me.  will try medium and hope it is better bc otherwise i love the dress!!",私は胸が大きく、普段は12号のドレスを着ていますが、L号は私には全く形がありませんでした。,4,0,General,Dresses,Dresses,0
45,42,Summer's must have tee!,夏の必需品、Tシャツの登場です,"I love these t.la tees, and i buy them often. i find them to be very versatile and super soft. i have several colors and they hold up well if you wash and hang dry. i am a small in most retailer tops and these are no exception. they wear well under jean jackets or even a long-sleeve button-down shirt.",私はほとんどの小売業者のトップスが小さいのですが、これらも例外ではありません。,5,1,General,Tops,Knits,0
46,32,Perfectly drapey,完璧なドレープ性,"I saw the shirt on the retailer website and new i had to have it. when it arrived, it was perfectly draped, light and airy, and incredibly soft and comfortable.  it's perfect to throw on with yoga pants for errands or dress up a bit a casual night out with friends. would buy this again in several different colors if they were offered. 9/10.",届いたときは、完璧なドレープで、軽くて風通しがよく、信じられないほど柔らかくて快適でした。用事があるときはヨガパンツに合わせたり、友人と出かけるときは少しドレスアップしたりするのに最適です。9/10.,5,0,General,Tops,Knits,0
47,30,Huge,巨大な,"This dress is huge. i am normally a l-xl regular in retailer brands. i love a loose, flowy dress. after trying one on in the store (just a random returned petite xl) i ordered the petite medium. and it was still huge and not flattering. so sad. i wanted to love this- loved the material and colors, but way off.",このドレスは大きいです。普段は小売店のブランドではL-XLのレギュラーサイズですが、ゆったりとした流れるようなドレスが好きです。,1,4,General,Dresses,Dresses,1
48,54,Cute and easy,かわいくて簡単,"I was excited to find this on sale because i just love baily 44, their designs are always simple, beautiful, and comfortable, and this one, just like the other 2 baily 44 dresses i own is perfect. i am 5'9, 125 pounds, and 34b bra size and got my usual size, xs. unlike my other baily 44 dresses, this one has a more relaxed fit up top and then has a form fitting layer that shows off your curves on the bottom. i personally don't think it's too short, but then again plan to wear tights with this pi",私は5フィート9インチ、125ポンド、34bのブラサイズで、いつものXSサイズを購入しました。他のBaily 44のドレスとは異なり、このドレスは上部がよりリラックスしたフィット感で、下部には体のラインを見せるようなフィット感のある層があります。,4,1,General Petite,Dresses,Dresses,0
49,34,"Yup, no ruffle.",うん、フチなし。,"Sooo this adorable blouse is indeed different than pictured. no ruffle, such a bummer, sleeves are much longer, and yes it's teared in the front and back. also the button opening on the back is much longer/larger, in my opinion. i'll most likely keep it, but consider the mentioned if buying.",フリルもないし、袖はもっと長いし、前も後ろも破れてるし、私的には後ろのボタンの開きがもっと長いというか大きいです。,3,1,General,Tops,Blouses,0
50,32,Had to return,返品せざるを得なかった,"I loved this dress and it fit perfectly. i did not have any issue with the camisole being tight, and i am really curvy. i did however have a problem trying to take it off. it has no zipper and in order for me to get it over my head i had to stretch my shoulders to the point where i ripped the back. i went to the store and tried on the larger size and ripped that one too. i tried to take it off more delicately but i couldn't. maybe it was me, but this dress is too much hassle. if i went any highe",キャミソールがきついという問題はありませんでしたし、私は本当に曲線的です。しかし、脱ぐときに問題がありました。,2,2,General Petite,Dresses,Dresses,1
51,59,Runs quite large,かなり大きめのサイズ,"The photo of the mila turtleneck where model has her hands to her sides, and just below her hair, there is a bit of extra fabric which falls to the bottom of the sweater in a bit of a pleat- well, it's not representative of the abundance of fabric in the xl. i usually wear an l or xl well with retailer clothing. the excess added the appearance of excessive pounds from breasts to bottom of sweater. bummer. i'll be returning it.",ミラ・タートルネックの写真で、モデルが両手を脇に寄せ、髪のすぐ下に、セーターの裾に落ちるプリーツのような余分な生地がありますが、これはXLサイズの豊富な生地を代表するものではありません。,2,3,General,Tops,Knits,1
52,33,Unique staple,ユニークなステープル,"Fits true to size, soft material and unique look. the sleeves and overall cut of this shirt are flattering. i was worried it might look boxy or baggy but it didn't at all. the dark gray is a gorgeous color and can be dressed up or down. definitely going to be a staple in my closet.",このシャツの袖と全体のカットはお世辞です。私はそれが箱型または袋状に見えるかもしれないと心配したが、それは全くありませんでした。,5,0,General,Tops,Knits,0
53,37,The pictures don't do it justice!,写真では伝わらない！？,"This is one you just need to see in person! stunning, detailed embroidery everywhere, gracefully oversized, very bohemian, light, airy and dreamy. this kimono was mine the second i saw it! white on white is classic...and this cream embroidery is beautiful. the kimono is very oversized. i'm normally a l or xl and this was plenty roomy. it's also quite long. nearly came down to my knees and i'm around 5'8. if there is an option for petite i'd recommend it to shorter gals! can't wait to pair this w",この着物は見た瞬間に私のものになりました！白地に白はクラシックで、このクリームの刺繍は美しいです。この着物は、見た瞬間に私のものになりました！白地に白はクラシックで、このクリーム色の刺繍はとても美しいです！着物はとてもオーバーサイズです。,5,24,General,Jackets,Jackets,0
54,44,Hourglass figure gals rejoice,砂時計型ギャル歓喜,"This dress is very feminine and flattering on, especially for hourglass figure gals. i usually wear size 4 regular in this brand but i sized up to 6 regular (i'm 34b, 26 waist, 36 hips). when it's very fitted on top, i like my dress to be a bit longer. the bottom hem falls about 2 inches longer on me than shown on the model (i'm 5'2""). it feels tight when first zipped because the dress is cut to fit the curves of a woman, but it loosens up after a few minutes of wear. the design of this dress is",このドレスはとてもフェミニンで、特に砂時計型の体型の女性にはぴったりだと思います。このドレスは女性の曲線に合うようにカットされているので、最初にジッパーを閉めた時はきつく感じますが、数分着ると緩くなります。,5,2,General Petite,Dresses,Dresses,0
55,42,,,I need one in every color. so super soft.,どの色も欲しいです。,5,1,General,Tops,Knits,0
56,29,Great basic,グレートベーシック,This dress fits great. i love that it's fitted at the top but drapery and swingy at the bottom.  it has a thicker t-shirt type fabric.  i will definitely style this with a variety of necklaces or a scarf and cardigan for cooler weather.  it's much cuter in person.  for reference i'm 5'4 105 and got xs.,上半身はフィットしているのに、下半身はドレープがあり、スウィングしているところが気に入っています。,5,2,General Petite,Dresses,Dresses,0
57,33,Cute peplum tank without being frumpy,フニャフニャにならない可愛いペプラムタンク,"I bought this tank on a whim without trying it on in the store, in black. the detail on the front is cute and the peplum is really cute without being frumpy at all. i am usually a small, ocassionally a medium in retailer shirts and i bought this in small. it fits but i feel like i could have gone up to a medium, it's just a little tight across the chest, but i do have more broad shoulders than most so maybe it's just because of that. the fabric is nice and stretchy, so i might be able to get away",このタンクは、お店で試着することなく、気まぐれで購入しました。前面のディテールがかわいく、ペプラムが全くふっくらしていないのがとてもかわいいです。,5,14,General,Tops,Knits,0
58,54,Two for one,2人で1つ,"This is a high-quality swimsuit that can be worn inside out. easy to wear colors, fantastic pattern placement. the other side is an intense blue. i would suggest going by the size chart on the mara hoffman site. 
.
 i think this should look great on athletic figures. the back is low-cut and the bottom has medium coverage, not as skimpy as brazilian cut bottoms. not ideal for hour-glass figures as there is no bust support, and you will show quite a bit from the side (it is cut in at the front w","裏返しに着ることもできる高品質な水着です。着やすい色で、素晴らしい柄の配置です。
.
 バックはローカットで、ボトムはブラジリアンカットのボトムほどスケスケではなく、ミディアムカバレッジです。バストサポートがないので、砂時計体型の人には不向きです。",5,1,Initmates,Intimate,Swim,0
59,26,Buy these now.,今すぐ購入する,"These cords are seriously fantastic. worth the price indeed. they are very comfy, have a lot of stretch but do not loose shape! the fun yet muted color design allows an average outfit to have a fun pop. they do run big, i got a 26 and i'm usually a 27. they are also very long! nothing a little trip to tailors can't fix. overall, highly recommended.",このコーデは本当に素晴らしいです。確かに値段の価値はあります。とても快適で、ストレッチが効いているのに、形が崩れません！楽しいけど落ち着いた色のデザインで、普通の服が楽しくポップになります。,5,0,General Petite,Bottoms,Jeans,0
60,35,Pretty,かわいい,"The colors on this are beautiful! i have wider hips and thighs and this blouse just looks too boxy on me. i ordered a size down and from that aspect it fit. however, it is too flowy and boxy for my body type. i considered keeping it for layering but even on sale, it is too expensive for this purpose. i'm so bummed because the colors are so pretty!",このブラウスの色はとてもきれいです！私はお尻と太ももが広いので、このブラウスは私には箱型に見えます。,4,0,General,Tops,Blouses,0
61,48,,,"These are comfy and cool. i got the blue, which is more royal than navy. in opinion, it goes well with almost anything! i can wear all the neutral colors, in addition to orange, red, yellow and patterns. they are flattering and like other reviewers, i went up a size to 28 in the blue. perfect length, not too short. got the same version last year in white, 27. 5'4"", 128lbs",他のレビュアーと同じように、ブルーは28にサイズアップしました。身長170cm、体重128kg,5,0,General,Bottoms,Shorts,0
