Name,Group,Accuracy,Recall,Precision,F1-score,AUC,Comment,Submitted Time
Machina_3,からあげレモン不要派,87.67,10.98,40.38,17.26,54.41,"#歳は正規分布なので平均値で埋める
#balance（貯金）は最頻値で埋める
df = df.fillna({'age':df['age'].mean()})
df = df.fillna({'balance':df['balance'].mode()})

#job()はunknownにする(あんま多くないし)
df = df.fillna({'job':'unknown'})
df = df.fillna({'marital':'unknown'})

ーーーーーーーーーーーーーーーーーーーーーーーー

#あとは適当にデータは捨てる※学習の時しかやっちゃダメ
df=df.dropna(how = 'any', axis=0)

ランダムサーチを使用

#歳は正規分布なので平均値で埋める
#balance（貯金）は最頻値で埋める
df_test = df_test.fillna({'age':df['age'].mean()})#訓練の中央値
df_test = df_test.fillna({'balance':df['balance'].mode()})#訓練の最頻値

#job()はunknownにする(あんま多くないし)
df_test = df_test.fillna({'job':'unknown'})
df_test = df_test.fillna({'marital':'unknown'})

#訓練で捨てたカラムを捨てる
df_test =df_test.drop('pdays',axis = 1) #NAが多いのでいったん落とす
df_test =df_test.drop('poutcome',axis = 1) #NAが多いのでいったん落とす





#適当に最頻値で埋める：Stringの場合最頻値の順に配列で帰ってくるので先頭を指定
df_test = df_test.fillna({'default':df['default'].mode()[0]})#訓練の最頻値:
df_test = df_test.fillna({'housing':df['housing'].mode()[0]})#訓練の最頻値
df_test = df_test.fillna({'loan':df['loan'].mode()[0]})#訓練の最頻値",
いち,スイトウ,86.02,40.90,40.46,40.68,66.45,,
house,クラウンローチ,84.56,36.12,34.74,35.42,63.56,,
シロ,キャッツ,84.39,36.52,34.39,35.42,63.63,,
sh,スイトウ,84.17,37.26,34.01,35.56,63.83,,
Aka,ぐんまサイエンス,84.08,37.32,33.78,35.46,63.80,何も考えずにとりあえず出力しました,
homa,キーウィ,83.85,35.55,32.65,34.04,62.91,,
マルノコ3,redbull,83.11,34.24,30.40,32.21,61.92,,
KA_2,もうはじめましてじゃないです_5,82.65,9.84,14.53,11.73,51.08,,
KA,もうはじめましてじゃないです_4,82.65,9.84,14.53,11.73,51.08,,
全て1で予測,キカガク,11.72,100.00,11.72,20.98,50.00,,2023-06-18 20:07:16
